num_chars_from,uppercase_percentage_from,date,content_type,content_transfer_encoding,num_chars_message_id,label
26,0.0,2015-05-01 21:59:05,multipart/mixed,NULL,NULL,1
17,0.0,2015-05-04 17:58:45,multipart/alternative,NULL,NULL,1
14,20.0,2015-05-05 00:56:12,multipart/alternative,NULL,NULL,1
20,0.0,2015-05-05 16:07:17,multipart/alternative,NULL,NULL,1
20,0.0,2015-05-05 16:07:17,multipart/alternative,NULL,NULL,1
14,20.0,2015-05-06 15:26:52,multipart/alternative,NULL,NULL,1
15,18.181818181818183,2015-05-06 16:03:37,multipart/alternative,NULL,NULL,1
18,14.285714285714285,2015-05-06 16:39:31,multipart/alternative,NULL,NULL,1
20,0.0,2015-05-07 01:06:01,multipart/alternative,NULL,NULL,1
13,0.0,2015-05-07 16:54:38,multipart/alternative,NULL,NULL,1
28,0.0,2015-05-09 15:33:38,NULL,NULL,NULL,1
20,5.88235294117647,2015-05-09 15:38:02,multipart/alternative,NULL,NULL,1
16,0.0,2015-05-09 16:30:36,NULL,NULL,NULL,1
25,0.0,2015-05-12 13:32:46,text/plain,quoted-printable,36,1
29,0.0,2015-05-14 14:58:14,multipart/alternative,NULL,NULL,1
26,0.0,2015-05-18 22:01:49,text/html,7bit,NULL,1
16,0.0,2015-05-19 17:32:17,text/html,NULL,NULL,1
29,0.0,2015-05-28 15:14:44,multipart/alternative,NULL,52,1
25,0.0,2015-05-29 00:21:41,text/plain,quoted-printable,36,1
16,0.0,2015-05-31 00:15:33,text/html,NULL,NULL,1
16,0.0,2015-05-31 16:34:30,text/html,NULL,NULL,1
23,425.0,2015-06-05 07:00:49,text/html,7bit,NULL,1
27,0.0,2015-06-05 16:13:06,multipart/alternative,NULL,67,1
22,0.0,2015-06-06 01:59:34,multipart/mixed,NULL,NULL,1
16,0.0,2015-06-06 08:11:59,text/html,NULL,NULL,1
35,0.0,2015-06-08 12:01:13,text/html,8bit,NULL,1
17,0.0,2015-06-11 17:24:55,multipart/alternative,NULL,NULL,1
20,0.0,2015-06-12 14:45:30,multipart/mixed,NULL,NULL,1
21,5.555555555555555,2015-06-12 15:09:16,multipart/alternative,NULL,NULL,1
21,0.0,2015-06-12 20:45:00,text/html,quoted-printable,65,1
13,0.0,2015-06-13 08:41:59,text/html,7bit,NULL,1
16,0.0,2015-06-18 04:51:53,text/html,NULL,NULL,1
16,0.0,2015-06-18 13:08:40,multipart/alternative,NULL,NULL,1
26,0.0,2015-06-20 12:41:29,NULL,NULL,NULL,1
24,0.0,2015-06-20 22:27:03,text/html,quoted-printable,31,1
18,0.0,2015-06-21 00:45:19,text/html,NULL,NULL,1
23,0.0,2015-06-22 02:43:40,text/html,quoted-printable,31,1
25,0.0,2015-06-22 06:13:03,multipart/alternative,NULL,48,1
18,0.0,2015-06-23 01:10:40,multipart/alternative,NULL,47,1
25,0.0,2015-06-23 08:12:00,multipart/mixed,NULL,47,1
28,8.695652173913043,2015-06-24 06:47:43,multipart/alternative,NULL,NULL,1
27,9.090909090909092,2015-06-25 17:44:41,multipart/alternative,NULL,81,1
15,0.0,2015-06-30 03:54:57,NULL,NULL,NULL,1
12,0.0,2015-07-04 22:58:20,multipart/alternative,NULL,43,1
12,0.0,2015-07-06 15:37:51,multipart/alternative,NULL,53,1
21,0.0,2015-07-08 20:18:39,text/html,8bit,36,1
14,9.090909090909092,2015-07-11 19:00:18,text/html,7bit,37,1
19,0.0,2015-07-14 17:41:23,multipart/alternative,NULL,60,1
23,0.0,2015-07-15 12:21:01,multipart/alternative,NULL,26,1
39,0.0,2015-07-17 17:47:23,text/plain,quoted-printable,74,1
39,0.0,2015-07-18 13:41:01,text/plain,7bit,73,1
12,0.0,2015-07-18 17:58:26,multipart/alternative,NULL,NULL,1
23,0.0,2015-07-19 11:56:19,text/plain,quoted-printable,36,1
16,0.0,2015-07-19 12:38:35,multipart/alternative,NULL,NULL,1
21,0.0,2015-07-23 16:17:41,multipart/alternative,NULL,68,1
30,12.0,2015-07-24 12:46:28,multipart/mixed,NULL,NULL,1
17,0.0,2015-07-26 17:40:23,multipart/mixed,NULL,NULL,1
21,0.0,2015-07-27 08:53:45,multipart/related,NULL,45,1
39,0.0,2015-07-27 12:47:15,text/plain,7bit,73,1
21,12.5,2015-07-28 14:49:11,multipart/alternative,NULL,61,1
39,0.0,2015-07-28 14:40:00,text/plain,7bit,73,1
22,0.0,2015-07-29 14:41:32,multipart/mixed,NULL,NULL,1
16,10.0,2015-07-30 16:43:39,text/html,8bit,40,1
29,0.0,2015-07-30 18:53:25,multipart/alternative,NULL,NULL,1
21,0.0,2015-07-30 21:08:22,text/html,7bit,44,1
20,0.0,2015-08-02 09:43:52,text/plain,quoted-printable,36,1
17,0.0,2015-08-02 22:17:41,multipart/alternative,NULL,39,1
21,0.0,2015-08-03 19:35:42,text/plain,quoted-printable,36,1
28,0.0,2015-08-03 21:09:24,text/plain,quoted-printable,35,1
27,0.0,2015-08-05 13:24:24,text/html,7bit,70,1
22,0.0,2015-08-05 13:56:51,multipart/alternative,NULL,65,1
22,0.0,2015-08-06 02:27:07,text/plain,quoted-printable,35,1
36,0.0,2015-08-07 16:28:15,multipart/alternative,NULL,74,1
17,0.0,2015-08-14 22:42:18,text/plain,quoted-printable,37,1
22,0.0,2015-08-15 23:34:18,text/plain,quoted-printable,36,1
19,0.0,2015-08-13 12:59:31,multipart/alternative,NULL,NULL,1
17,0.0,2015-08-16 21:29:33,NULL,NULL,NULL,1
46,6.25,2015-08-20 15:21:52,NULL,NULL,NULL,1
25,0.0,2015-08-21 18:54:16,text/html,base64,51,1
15,8.333333333333332,2015-08-22 21:36:55,multipart/alternative,NULL,NULL,1
15,8.333333333333332,2015-08-22 21:50:36,multipart/alternative,NULL,NULL,1
41,0.0,2015-08-23 16:08:57,NULL,NULL,NULL,1
25,0.0,2015-08-24 07:36:04,multipart/alternative,NULL,NULL,1
21,0.0,2015-08-26 18:40:07,multipart/alternative,NULL,NULL,1
54,16.0,2015-08-26 20:40:50,multipart/mixed,NULL,NULL,1
22,0.0,2015-09-01 14:16:21,multipart/alternative,NULL,55,1
20,0.0,2015-09-01 16:58:03,multipart/alternative,NULL,74,1
25,50.0,2015-09-01 23:07:14,multipart/mixed,NULL,49,1
27,0.0,2015-09-02 18:34:37,text/plain,quoted-printable,71,1
23,0.0,2015-09-03 06:54:17,multipart/alternative,NULL,NULL,1
27,0.0,2015-09-04 18:06:48,multipart/alternative,NULL,45,1
23,0.0,2015-08-31 17:50:30,multipart/mixed,NULL,46,1
44,0.0,2015-09-06 13:44:07,multipart/mixed,NULL,NULL,1
9,0.0,2015-09-07 17:22:56,multipart/alternative,NULL,45,1
16,0.0,2015-09-08 14:30:56,multipart/mixed,NULL,NULL,1
17,7.142857142857142,2015-09-08 19:37:51,multipart/alternative,NULL,NULL,1
23,0.0,2015-09-14 00:42:45,text/html,NULL,NULL,1
28,0.0,2015-09-14 14:39:46,text/html,quoted-printable,56,1
15,0.0,2015-09-14 21:30:55,multipart/alternative,NULL,NULL,1
49,0.0,2015-09-17 16:22:36,multipart/alternative,NULL,NULL,1
17,0.0,2015-09-18 03:13:19,multipart/alternative,NULL,NULL,1
27,0.0,2015-09-18 23:30:43,multipart/alternative,NULL,NULL,1
23,0.0,2015-09-19 06:21:55,multipart/alternative,NULL,63,1
32,0.0,2015-09-21 07:33:41,multipart/mixed,NULL,NULL,1
16,0.0,2015-09-21 11:06:50,multipart/alternative,NULL,59,1
18,0.0,2015-09-21 17:40:59,multipart/alternative,NULL,NULL,1
28,0.0,2015-09-22 05:47:56,multipart/alternative,NULL,NULL,1
19,0.0,2015-09-22 19:50:39,multipart/alternative,NULL,76,1
26,0.0,2015-09-23 08:30:51,text/html,quoted-printable,52,1
25,0.0,2015-09-23 15:01:16,text/html,8bit,NULL,1
20,20.0,2015-09-24 14:55:18,text/html,8bit,NULL,1
18,0.0,2015-09-29 09:14:44,text/html,NULL,NULL,1
33,0.0,2015-09-28 15:05:14,multipart/alternative,NULL,74,1
20,0.0,2015-09-29 16:04:24,multipart/mixed,NULL,56,1
25,0.0,2015-10-03 08:48:35,multipart/alternative,NULL,NULL,1
13,0.0,2015-10-01 06:44:28,multipart/alternative,NULL,NULL,1
21,11.76470588235294,2015-10-04 18:31:49,text/html,quoted-printable,45,1
15,0.0,2015-10-05 12:49:14,NULL,NULL,NULL,1
15,0.0,2015-10-05 16:40:41,NULL,NULL,NULL,1
25,0.0,2015-10-06 12:04:04,multipart/alternative,NULL,NULL,1
18,14.285714285714285,2015-10-08 14:06:47,multipart/mixed,NULL,45,1
18,0.0,2015-10-08 18:05:10,multipart/alternative,NULL,72,1
20,0.0,2015-10-10 15:11:47,text/html,7bit,NULL,1
20,0.0,2015-10-11 23:52:42,multipart/alternative,NULL,NULL,1
22,0.0,2015-10-12 19:44:17,text/html,7bit,NULL,1
24,0.0,2015-10-14 02:20:38,multipart/alternative,NULL,NULL,1
11,0.0,2015-10-15 17:59:50,multipart/alternative,NULL,49,1
50,0.0,2015-10-16 04:27:07,multipart/mixed,NULL,52,1
17,7.142857142857142,2015-10-16 20:03:44,multipart/mixed,NULL,45,1
26,0.0,2015-10-17 10:03:11,multipart/mixed,NULL,39,1
34,0.0,2015-10-17 15:57:31,text/html,8bit,NULL,1
18,0.0,2015-10-17 16:57:02,multipart/alternative,NULL,71,1
23,0.0,2015-10-19 03:19:35,text/plain,quoted-printable,49,1
18,0.0,2015-10-20 13:37:07,multipart/alternative,NULL,64,1
26,0.0,2015-10-20 13:47:14,multipart/alternative,NULL,NULL,1
33,38.095238095238095,2015-10-20 23:40:40,multipart/mixed,NULL,55,1
31,0.0,2015-10-21 12:36:56,text/html,8bit,NULL,1
31,0.0,2015-10-21 17:05:12,text/html,8bit,NULL,1
15,0.0,2015-10-21 23:00:24,multipart/alternative,NULL,NULL,1
25,10.526315789473683,2015-10-23 12:22:16,multipart/alternative,NULL,74,1
19,183.33333333333331,2015-10-23 13:42:37,multipart/alternative,NULL,64,1
16,7.6923076923076925,2015-10-23 15:00:15,multipart/alternative,NULL,64,1
44,3.125,2015-10-23 16:18:41,text/html,NULL,49,1
31,0.0,2015-10-27 18:14:59,multipart/alternative,NULL,63,1
11,200.0,2015-10-28 09:39:59,multipart/alternative,NULL,60,1
19,13.333333333333334,2015-10-28 21:08:07,multipart/alternative,NULL,NULL,1
19,0.0,2015-10-29 11:27:34,text/plain,7bit,43,1
17,15.384615384615385,2015-10-29 13:12:02,multipart/alternative,NULL,66,1
18,0.0,2015-10-30 05:00:48,NULL,NULL,NULL,1
27,0.0,2015-10-30 09:21:59,multipart/alternative,NULL,67,1
17,15.384615384615385,2015-10-30 14:54:33,text/plain,quoted-printable,73,1
25,0.0,2015-10-30 19:02:33,multipart/alternative,NULL,NULL,1
15,0.0,2015-10-31 13:38:13,text/html,8bit,58,1
NULL,NULL,2015-10-31 15:14:17,multipart/mixed,NULL,80,1
24,0.0,2015-11-03 09:18:36,multipart/alternative,NULL,NULL,1
25,10.526315789473683,2015-11-02 12:59:51,multipart/alternative,NULL,71,1
28,9.090909090909092,2015-11-03 21:27:37,multipart/alternative,NULL,65,1
28,9.090909090909092,2015-11-03 22:06:48,multipart/alternative,NULL,65,1
31,0.0,2015-11-04 21:47:50,multipart/alternative,NULL,51,1
28,8.333333333333332,2015-11-05 00:26:41,text/plain,quoted-printable,72,1
14,0.0,2015-11-05 09:54:11,text/html,8bit,NULL,1
23,0.0,2015-11-05 14:51:43,multipart/alternative,NULL,NULL,1
15,0.0,2015-11-05 19:11:47,multipart/alternative,NULL,49,1
27,9.523809523809524,2015-11-06 14:27:57,text/html,quoted-printable,62,1
35,0.0,2015-11-07 09:01:21,multipart/alternative,NULL,70,1
27,9.523809523809524,2015-11-09 13:15:14,text/html,quoted-printable,62,1
24,0.0,2015-11-09 15:11:02,multipart/alternative,NULL,68,1
19,0.0,2015-11-10 12:10:20,multipart/alternative,NULL,NULL,1
31,0.0,2015-11-10 22:37:24,multipart/alternative,NULL,51,1
27,9.523809523809524,2015-11-11 11:30:15,text/html,quoted-printable,62,1
24,0.0,2015-11-13 01:41:50,multipart/mixed,NULL,61,1
21,0.0,2015-11-13 16:19:52,multipart/alternative,NULL,62,1
22,0.0,2015-11-14 19:41:15,multipart/alternative,NULL,68,1
20,0.0,2015-11-14 20:05:48,multipart/alternative,NULL,NULL,1
28,0.0,2015-11-15 11:17:58,multipart/alternative,NULL,65,1
28,0.0,2015-11-15 11:45:00,multipart/alternative,NULL,65,1
28,0.0,2015-11-15 12:24:53,multipart/alternative,NULL,65,1
32,16.0,2015-11-18 00:02:47,multipart/alternative,NULL,52,1
17,0.0,2015-11-17 10:52:01,multipart/alternative,NULL,NULL,1
23,0.0,2015-11-19 15:43:40,multipart/alternative,NULL,NULL,1
26,0.0,2015-11-19 23:16:35,multipart/alternative,NULL,NULL,1
31,0.0,2015-11-22 23:31:24,multipart/alternative,NULL,NULL,1
15,0.0,2015-11-23 04:24:37,multipart/alternative,NULL,NULL,1
28,0.0,2015-11-23 03:12:31,multipart/mixed,NULL,NULL,1
16,40.0,2015-11-18 17:49:36,multipart/alternative,NULL,NULL,1
27,157.14285714285714,2015-11-18 18:46:49,multipart/mixed,NULL,39,1
23,0.0,2015-11-20 09:39:16,text/html,NULL,NULL,1
24,0.0,2015-11-23 23:40:09,multipart/alternative,NULL,NULL,1
27,9.523809523809524,2015-11-24 09:25:03,text/html,quoted-printable,62,1
16,0.0,2015-11-25 13:38:12,multipart/alternative,NULL,NULL,1
23,0.0,2015-11-25 23:25:13,multipart/alternative,NULL,NULL,1
18,6.666666666666667,2015-11-17 03:49:16,text/html,8bit,NULL,1
30,17.391304347826086,2015-11-26 23:57:08,multipart/alternative,NULL,46,1
36,10.714285714285714,2015-11-27 23:36:28,multipart/alternative,NULL,40,1
21,0.0,2015-11-29 22:22:57,multipart/alternative,NULL,NULL,1
23,0.0,2015-11-30 06:31:13,multipart/alternative,NULL,NULL,1
16,0.0,2015-11-30 14:43:46,multipart/alternative,NULL,60,1
32,16.0,2015-12-01 13:01:18,multipart/mixed,NULL,66,1
35,0.0,2015-12-02 16:46:43,multipart/alternative,NULL,NULL,1
37,0.0,2015-12-06 00:29:09,multipart/alternative,NULL,NULL,1
32,16.0,2015-12-06 00:52:17,multipart/mixed,NULL,60,1
37,0.0,2015-12-06 04:47:48,multipart/alternative,NULL,NULL,1
37,0.0,2015-12-06 08:24:52,multipart/alternative,NULL,NULL,1
25,0.0,2015-12-06 19:42:55,multipart/related,NULL,51,1
22,0.0,2015-12-05 05:41:41,multipart/alternative,NULL,NULL,1
18,77.77777777777779,2015-12-08 17:46:38,multipart/mixed,NULL,NULL,1
29,0.0,2015-12-09 13:55:28,multipart/alternative,NULL,NULL,1
30,19.047619047619047,2015-12-09 21:00:00,text/html,NULL,50,1
30,30.0,2015-12-10 14:52:28,multipart/mixed,NULL,42,1
18,14.285714285714285,2015-12-12 11:02:47,text/html,8bit,56,1
14,10.0,2015-12-17 00:15:41,text/html,7bit,NULL,1
43,18.75,2015-12-15 19:13:05,multipart/alternative,NULL,NULL,1
22,0.0,2015-12-17 22:14:04,multipart/mixed,NULL,NULL,1
46,24.242424242424242,2015-12-19 08:54:03,multipart/alternative,NULL,NULL,1
17,0.0,2015-12-19 20:10:54,multipart/alternative,NULL,NULL,1
23,0.0,2015-12-19 22:13:08,multipart/alternative,NULL,41,1
28,0.0,2015-12-20 22:21:04,multipart/related,NULL,47,1
21,0.0,2015-12-21 15:39:55,multipart/alternative,NULL,84,1
21,0.0,2015-12-21 15:46:58,multipart/alternative,NULL,80,1
35,25.0,2015-12-22 00:27:22,multipart/mixed,NULL,NULL,1
35,30.434782608695656,2015-12-22 06:19:26,multipart/alternative,NULL,NULL,1
32,16.0,2015-12-24 01:37:54,multipart/mixed,NULL,43,1
20,0.0,2015-12-25 03:48:39,multipart/alternative,NULL,NULL,1
43,25.806451612903224,2015-12-25 18:54:55,multipart/alternative,NULL,NULL,1
43,25.806451612903224,2015-12-25 22:23:01,multipart/alternative,NULL,NULL,1
43,25.806451612903224,2015-12-26 01:56:36,multipart/alternative,NULL,NULL,1
20,0.0,2015-12-26 17:54:09,multipart/alternative,NULL,NULL,1
30,3.8461538461538463,2015-12-03 04:31:33,multipart/alternative,8bit,66,1
36,28.000000000000004,2015-12-29 17:20:24,multipart/alternative,NULL,NULL,1
23,0.0,2015-12-30 11:26:30,multipart/alternative,NULL,51,1
27,83.33333333333334,2015-12-30 23:11:23,multipart/alternative,NULL,58,1
40,0.0,2015-12-31 09:05:32,multipart/mixed,NULL,40,1
24,133.33333333333331,2017-09-28 13:58:02,NULL,NULL,23,1
40,24.137931034482758,2016-01-02 19:31:58,multipart/alternative,NULL,NULL,1
40,24.137931034482758,2016-01-03 02:47:31,multipart/alternative,NULL,NULL,1
19,0.0,2016-01-02 09:48:05,multipart/alternative,NULL,NULL,1
19,0.0,2016-01-06 09:32:06,text/plain,quoted-printable,62,1
40,0.0,2016-01-08 04:56:47,multipart/mixed,NULL,39,1
33,0.0,2016-01-08 01:31:54,multipart/alternative,NULL,41,1
19,0.0,2016-01-08 16:46:53,text/plain,quoted-printable,62,1
18,0.0,2016-01-09 11:51:20,multipart/alternative,NULL,56,1
22,0.0,2016-01-09 13:37:36,multipart/alternative,NULL,56,1
22,0.0,2016-01-12 00:12:00,multipart/alternative,NULL,66,1
20,12.5,2016-01-12 18:14:36,multipart/alternative,NULL,66,1
19,13.333333333333334,2016-01-13 09:20:22,multipart/alternative,NULL,66,1
19,13.333333333333334,2016-01-14 11:24:41,multipart/alternative,NULL,64,1
19,0.0,2016-01-14 19:51:32,multipart/alternative,NULL,68,1
19,0.0,2016-01-14 20:46:40,multipart/alternative,NULL,68,1
19,0.0,2016-01-15 02:08:49,multipart/alternative,NULL,NULL,1
32,16.0,2016-01-14 22:57:19,multipart/mixed,NULL,43,1
24,0.0,2016-01-15 12:08:46,text/html,7bit,NULL,1
16,0.0,2016-01-15 22:58:15,multipart/alternative,NULL,NULL,1
46,24.242424242424242,2016-01-15 21:55:36,multipart/mixed,NULL,NULL,1
32,7.4074074074074066,2016-01-16 02:14:11,text/plain,quoted-printable,62,1
26,0.0,2016-01-18 03:25:55,NULL,NULL,NULL,1
20,0.0,2016-01-18 13:23:27,multipart/mixed,NULL,41,1
28,8.695652173913043,2016-01-19 11:39:15,multipart/alternative,NULL,66,1
13,0.0,2016-01-20 00:26:20,text/html,quoted-printable,66,1
18,0.0,2016-01-20 00:47:15,text/html,7bit,NULL,1
27,0.0,2016-01-20 17:12:04,text/html,base64,52,1
28,8.695652173913043,2016-01-22 11:04:23,multipart/alternative,NULL,69,1
18,0.0,2016-01-26 01:22:38,text/plain,7bit,NULL,1
16,0.0,2016-01-26 17:03:25,multipart/alternative,NULL,NULL,1
17,0.0,2016-01-26 19:41:43,multipart/alternative,NULL,NULL,1
20,0.0,2016-01-26 20:33:46,multipart/mixed,NULL,53,1
18,0.0,2016-01-28 01:30:20,multipart/alternative,NULL,NULL,1
16,0.0,2016-01-28 02:50:28,multipart/alternative,NULL,NULL,1
NULL,NULL,2016-01-28 05:04:12,multipart/alternative,NULL,NULL,1
20,0.0,2016-01-29 07:13:47,multipart/mixed,NULL,NULL,1
38,0.0,2016-01-30 18:06:40,multipart/related,NULL,43,1
34,0.0,2016-01-30 18:15:33,multipart/related,NULL,43,1
24,0.0,2016-02-01 01:20:51,multipart/related,NULL,47,1
15,0.0,2016-02-01 06:04:45,NULL,NULL,NULL,1
15,0.0,2016-02-01 07:09:26,NULL,NULL,NULL,1
22,0.0,2016-01-31 20:09:33,multipart/mixed,NULL,47,1
27,20.0,2016-02-01 20:48:13,multipart/related,NULL,45,1
25,0.0,2016-02-01 22:34:40,multipart/alternative,NULL,59,1
29,0.0,2016-02-02 00:47:18,multipart/alternative,NULL,NULL,1
24,0.0,2016-02-02 22:08:24,multipart/related,NULL,47,1
16,0.0,2016-02-03 23:39:32,multipart/alternative,NULL,62,1
24,0.0,2016-02-04 14:56:13,multipart/alternative,NULL,NULL,1
24,0.0,2016-02-04 17:01:48,multipart/related,NULL,47,1
23,0.0,2016-02-06 17:32:16,multipart/mixed,NULL,49,1
23,150.0,2016-02-06 18:04:18,multipart/mixed,NULL,48,1
25,0.0,2016-02-06 17:49:46,multipart/mixed,NULL,51,1
24,0.0,2016-02-07 09:03:00,NULL,NULL,47,1
24,0.0,2016-02-08 21:19:21,multipart/mixed,NULL,53,1
22,0.0,2016-02-08 21:23:09,multipart/mixed,NULL,53,1
26,0.0,2016-02-08 23:32:32,multipart/mixed,NULL,67,1
24,0.0,2016-02-08 23:49:27,multipart/mixed,NULL,47,1
22,0.0,2016-02-09 22:51:25,multipart/alternative,NULL,NULL,1
22,0.0,2016-02-10 00:21:43,multipart/alternative,NULL,NULL,1
25,0.0,2016-02-07 00:33:44,multipart/alternative,NULL,NULL,1
19,0.0,2016-02-10 20:58:59,multipart/alternative,NULL,NULL,1
24,0.0,2016-02-10 22:51:06,multipart/mixed,NULL,NULL,1
21,13.333333333333334,2016-02-10 23:14:13,text/html,NULL,NULL,1
21,13.333333333333334,2016-02-10 23:18:26,text/html,NULL,NULL,1
27,0.0,2016-02-10 20:54:08,multipart/mixed,NULL,NULL,1
24,0.0,2016-02-11 19:26:50,multipart/mixed,NULL,47,1
17,0.0,2016-02-11 20:21:08,multipart/alternative,NULL,NULL,1
21,0.0,2016-02-12 16:00:57,multipart/mixed,NULL,NULL,1
26,0.0,2016-02-12 23:31:24,multipart/alternative,NULL,NULL,1
37,0.0,2016-02-13 14:10:37,multipart/mixed,NULL,48,1
19,0.0,2016-02-13 18:24:39,multipart/alternative,NULL,49,1
18,25.0,2016-02-13 23:44:57,multipart/alternative,NULL,63,1
30,0.0,2016-02-14 01:56:55,multipart/alternative,NULL,NULL,1
23,0.0,2016-02-16 04:09:06,multipart/mixed,NULL,NULL,1
27,0.0,2016-02-16 03:42:01,multipart/related,NULL,53,1
16,0.0,2016-02-16 22:19:19,multipart/alternative,NULL,68,1
22,0.0,2016-02-16 02:51:53,multipart/mixed,NULL,NULL,1
33,0.0,2016-02-17 04:30:52,multipart/related,NULL,47,1
18,0.0,2016-02-18 00:54:49,multipart/mixed,NULL,NULL,1
31,0.0,2016-02-18 22:37:22,multipart/alternative,NULL,67,1
18,0.0,2016-02-19 02:15:49,multipart/alternative,NULL,NULL,1
